NAMELSAD10,Longitude,Latitude,Electricity,Fertilizer,Food_Production,Food_waste,Natural_Gas,Pet_waste,Pet_food_production,Transportation,Wastewater
Census Tract 3101.03,-86.29741,39.88553,80604.5,32540.1,7886783,90016.1,153711.3,33.3,37.5,51749.3,477.4
Census Tract 3101.04,-86.239,39.91828,56513.8,10048.8,5407326,61716.7,91589.6,22.8,25.7,5503.3,177.8
Census Tract 3101.05,-86.24447,39.90373,49097.5,8783.6,4604287,52551.2,70799.5,19.4,21.9,7925.4,228.2
Census Tract 3101.06,-86.21125,39.90504,66895.5,1093.3,6216227,70949.1,92492.2,26.2,29.5,4760.1,253.5
Census Tract 3101.08,-86.31681,39.84067,41692.6,3647.5,4106051,46864.6,82313.5,17.3,19.5,51749.4,199.4
Census Tract 3101.10,-86.28303,39.84531,44689.4,2512.1,4182252,47734.3,65431.2,17.7,19.9,51749.3,185.7
Census Tract 3101.11,-86.28679,39.83022,55069,3615,5208032,59442.1,85355.8,22,24.8,51749.3,240.3
Census Tract 3102.01,-86.23702,39.88965,45081,7302.3,4199836,47935,63396.6,17.7,20,7939,235.5
Census Tract 3102.03,-86.25535,39.87481,68418.2,5846.6,6523961,74461.5,112977.6,27.5,31,6600.5,340
Census Tract 3102.04,-86.2213,39.87556,57501.9,1203.8,5407326,61716.7,87026,22.8,25.7,10269.1,353.3
Census Tract 3103.05,-86.26986,39.84432,79608.8,6152.4,7376824,84195.7,107891.6,31.1,35.1,8345.9,360.9
Census Tract 3103.06,-86.25256,39.83124,63805.3,5197.5,6266050,71517.8,122794.3,26.5,29.8,6701.7,360.9
Census Tract 3103.08,-86.22928,39.86074,35106.9,1334.4,3382143,38602.2,61052.8,14.3,16.1,6595.9,208.3
Census Tract 3103.09,-86.24801,39.8598,50562,2196.8,4698072,53621.6,69995.5,19.8,22.3,4327.3,232.5
Census Tract 3103.10,-86.26265,39.86068,50271.6,3573.1,4756688,54290.6,77541.3,20.1,22.6,7329.7,306.4
Census Tract 3103.11,-86.22516,39.83875,57403.5,2652.7,5451288,62218.5,91862.9,23,25.9,12766.1,392.5
Census Tract 3103.12,-86.24591,39.8464,87615.7,5044.9,8150555,93026.7,122945.5,34.4,38.7,9077.1,437.2
Census Tract 3201.05,-86.19354,39.9194,64394.9,1298.1,6101926,69644.6,101241.5,25.8,29,8291.4,277.6
Census Tract 3201.06,-86.17389,39.92329,28133,2605.9,2740298,31276.5,51594.4,11.6,13,4781,154.9
Census Tract 3201.07,-86.15545,39.91976,24764.7,3609,2464803,28132.1,52302,10.4,11.7,5093.9,121
Census Tract 3201.08,-86.19348,39.90476,76801.7,787,7271315,82991.4,120947.8,30.7,34.6,5149.5,341.9
Census Tract 3201.09,-86.17447,39.90496,35664.7,2507.4,3452482,39405,64730.5,14.6,16.4,5561.7,148.6
Census Tract 3202.02,-86.13021,39.89845,62428.4,9318.7,6060894,69176.3,113488.7,25.6,28.8,9660.3,275.6
Census Tract 3202.03,-86.12995,39.92348,51672.6,2631.3,4909090,56030.1,82408.3,20.7,23.3,4723.5,167
Census Tract 3202.04,-86.1092,39.91835,84150.3,8514.8,7901437,90183.4,123024.5,33.4,37.6,10649.6,350.9
Census Tract 3203.01,-86.11527,39.8894,54228.2,4039.7,5193378,59274.8,91561.9,21.9,24.7,9000.7,197.8
Census Tract 3203.03,-86.07625,39.91788,56358.4,1752.9,5269578,60144.5,81613.4,22.2,25,51749.4,213.3
Census Tract 3203.04,-86.08542,39.89901,96931.4,7034.7,9337529,106574.2,170935.2,39.4,44.4,17898.3,421
