Supplementary Material Table 1: Products and ingredients used for calculation of the percent of animal-derived energy (Table 5). The ‘Nth Ingredient Equivalents’ are the Table 3 ingredients with known nutritional content that were equated with the ingredients as listed.,,,,,,,,,,,,
PREMIUM DOG FOODS,,,,,,,,,,,,
Brand,Product,1st Ingredient,2nd Ingredient,3rd Ingredient,4th Ingredient,5th Ingredient,,1st Ingredient Equivalent,2nd Ingredient Equivalent,3rd Ingredient Equivalent,4th Ingredient Equivalent,5th Ingredient Equivalent
ACANA,ACANA Wild Prairie Regional Formula Grain-Free Dry Dog Food,debonedchicken,chickenmeal,greenpeas,turkeymeal,chickenliveroil,,poultry,poultryandbonemeal,pea,dry poultry,meat fat
ACANA,ACANA Pacifica Regional Formula Grain-Free Dry Dog Food,bonelesssalmon,salmonmeal,herringmeal,whitefishmeal,greenpeas,,fish,dry fish,dry fish,dry fish,pea
ACANA,ACANA Ranchlands Regional Formula Grain-Free Dry Dog Food,debonedbeef,beefmeal,greenpeas,debonedlamb,lambmeal,,beef,dry beef,pea,lamb,dry lamb
ACANA,ACANA Grasslands Regional Formula Grain-Free Dry Dog Food,debonedlamb,lambmeal,duckmeal,whiteﬁshmeal,wholepeas,,lamb,dry lamb,dry poultry,dry fish,pea
ACANA,ACANA Chicken & Burbank Potato Formula Dry Dog Food,chickenmeal,debonedchicken,wholepotato,steel-cutoats,peas,,poultryandbonemeal,poultry,tuber,grain,pea
ACANA,ACANA Duck & Bartlett Pear Singles Formula Dry Dog Food,duckmeal,debonedduck,greenlentils,redlentils,duckliver,,dry poultry,poultry,pea,pea,poultry
ACANA,ACANA Lamb & Okanagan Apple Singles Formula Dry Dog Food,lambmeal,debonedlamb,greenlentils,redlentils,lambliver,,dry lamb,lamb,pea,pea,lamb
ACANA,ACANA Pork & Butternut Squash Singles Formula Dry Dog Food,debonedpork,porkmeal,greenlentils,redlentils,porkliver,,pork,dry pork,pea,pea,pork
Addiction,Addiction Grain-Free Viva La Venison Dry Dog Food,venisonmeal,driedpotatoes,chickenfat(freefromchickenproteinandnaturallypreservedwithmixedtocopherols-asourceofvitamine),naturalflavors,driedegg,,dry beef,tuber,meat fat,null,dry egg
Addiction,Addiction New Zealand Brushtail & Vegetables Entree Canned Dog Food,brushtail,venison,carrots,potatoes,peas,,poultry,beef,other veg,tuber,pea
Addiction,Addiction Grain-Free Salmon Bleu Dry Dog Food,salmonmeal,driedpotatoes,driedtapioca,chickenfat(preservedwithmixedtocopherols),peas,,dry fish,tuber,grain,meat fat,pea
Addiction,Addiction New Zealand Venison & Apples Entree Canned Dog Food,venison,apples,carrots,potatoes,peas,,beef,other veg,other veg,tuber,pea
